,id,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,1,2016-07-01 00:00:00,上海,虹口,50.0,优,,35,49,0.594,42,62,110,11
1,2,2016-07-01 01:00:00,上海,虹口,45.0,优,,31,38,0.659,41,43,96,12
2,3,2016-07-01 02:00:00,上海,虹口,43.0,优,,30,38,0.636,40,31,82,13
3,4,2016-07-01 03:00:00,上海,虹口,46.0,优,,26,46,0.566,36,22,67,12
4,5,2016-07-01 04:00:00,上海,虹口,39.0,优,,17,39,0.5,26,21,56,10
5,6,2016-07-01 05:00:00,上海,虹口,34.0,优,,23,34,0.549,30,12,45,9
6,7,2016-07-01 06:00:00,上海,虹口,30.0,优,,21,21,0.567,33,12,35,10
7,8,2016-07-01 07:00:00,上海,虹口,38.0,优,,26,21,0.622,39,9,26,11
8,9,2016-07-01 08:00:00,上海,虹口,35.0,优,,22,35,0.744,46,9,20,12
9,10,2016-07-01 09:00:00,上海,虹口,49.0,优,,23,49,0.941,55,10,16,12
10,11,2016-07-01 10:00:00,上海,虹口,51.0,良,颗粒物(PM10),27,51,0.923,55,21,14,13
11,12,2016-07-01 11:00:00,上海,虹口,50.0,优,颗粒物(PM10),29,50,0.822,51,36,16,14
12,13,2016-07-01 12:00:00,上海,虹口,51.0,良,颗粒物(PM10),28,52,0.792,48,54,20,14
13,14,2016-07-01 13:00:00,上海,虹口,43.0,优,颗粒物(PM10),30,38,0.716,44,78,29,13
14,15,2016-07-01 14:00:00,上海,虹口,42.0,优,颗粒物(PM10),29,37,0.58,32,107,40,10
15,16,2016-07-01 15:00:00,上海,虹口,38.0,优,颗粒物(PM10),26,37,0.483,24,103,52,10
16,17,2016-07-01 16:00:00,上海,虹口,38.0,优,颗粒物(PM10),19,38,0.49,27,106,64,9
17,18,2016-07-01 17:00:00,上海,虹口,50.0,优,颗粒物(PM10),20,50,0.531,31,109,77,10
18,19,2016-07-01 18:00:00,上海,虹口,50.0,优,颗粒物(PM10),20,50,0.628,46,91,86,10
19,20,2016-07-01 19:00:00,上海,虹口,54.0,良,细颗粒物(PM2.5),38,55,0.718,62,69,90,10
20,21,2016-07-01 20:00:00,上海,虹口,60.0,良,颗粒物(PM10),29,69,0.74,77,44,88,10
21,22,2016-07-01 21:00:00,上海,虹口,45.0,优,颗粒物(PM10),28,45,0.683,54,21,81,10
22,23,2016-07-01 22:00:00,上海,虹口,29.0,优,颗粒物(PM10),20,26,0.596,52,18,70,11
23,24,2016-07-01 23:00:00,上海,虹口,28.0,优,颗粒物(PM10),19,26,0.566,52,21,60,10
24,25,2016-07-02 00:00:00,上海,虹口,40.0,优,颗粒物(PM10),20,40,0.588,57,17,49,10
25,26,2016-07-02 01:00:00,上海,虹口,52.0,良,颗粒物(PM10),19,53,0.808,72,2,35,14
26,27,2016-07-02 02:00:00,上海,虹口,35.0,优,颗粒物(PM10),19,32,0.723,69,2,24,18
27,28,2016-07-02 03:00:00,上海,虹口,41.0,优,颗粒物(PM10),21,41,0.579,48,12,17,13
28,29,2016-07-02 04:00:00,上海,虹口,54.0,良,颗粒物(PM10),21,58,0.547,34,21,14,10
29,30,2016-07-02 05:00:00,上海,虹口,28.0,优,颗粒物(PM10),16,58,0.811,55,5,12,8
30,31,2016-07-02 06:00:00,上海,虹口,26.0,优,颗粒物(PM10),18,58,0.707,41,16,12,8
31,32,2016-07-02 07:00:00,上海,虹口,22.0,优,颗粒物(PM10),14,58,0.696,44,16,11,7
32,33,2016-07-02 08:00:00,上海,虹口,27.0,优,颗粒物(PM10),12,12,0.691,54,13,11,7
