,id,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,1,2016-07-01 00:00:00,上海,浦东川沙,57.0,良,颗粒物(PM10),28,63,0.604,21,59,119,10
1,2,2016-07-01 01:00:00,上海,浦东川沙,45.0,优,颗粒物(PM10),27,45,0.626,22,41,98,11
2,3,2016-07-01 02:00:00,上海,浦东川沙,50.0,优,颗粒物(PM10),25,50,0.645,22,34,81,11
3,4,2016-07-01 03:00:00,上海,浦东川沙,53.0,良,颗粒物(PM10),23,56,0.624,20,34,68,12
4,5,2016-07-01 04:00:00,上海,浦东川沙,38.0,优,颗粒物(PM10),21,38,0.561,14,31,54,9
5,6,2016-07-01 05:00:00,上海,浦东川沙,52.0,良,颗粒物(PM10),12,53,0.55,15,23,44,10
6,7,2016-07-01 06:00:00,上海,浦东川沙,47.0,优,颗粒物(PM10),10,47,0.549,18,20,38,10
7,8,2016-07-01 07:00:00,上海,浦东川沙,46.0,优,颗粒物(PM10),10,46,0.694,20,22,33,10
8,9,2016-07-01 08:00:00,上海,浦东川沙,58.0,良,颗粒物(PM10),17,65,0.713,23,28,29,11
9,10,2016-07-01 09:00:00,上海,浦东川沙,62.0,良,颗粒物(PM10),32,73,0.801,27,36,28,13
10,11,2016-07-01 10:00:00,上海,浦东川沙,57.0,良,颗粒物(PM10),31,64,0.728,24,47,30,12
11,12,2016-07-01 11:00:00,上海,浦东川沙,55.0,良,颗粒物(PM10),30,60,0.68,22,61,34,12
12,13,2016-07-01 12:00:00,上海,浦东川沙,58.0,良,颗粒物(PM10),30,66,0.631,18,80,40,12
13,14,2016-07-01 13:00:00,上海,浦东川沙,52.0,良,颗粒物(PM10),29,53,0.616,16,100,49,11
14,15,2016-07-01 14:00:00,上海,浦东川沙,51.0,良,颗粒物(PM10),35,51,0.636,16,131,63,11
15,16,2016-07-01 15:00:00,上海,浦东川沙,54.0,良,颗粒物(PM10),35,58,0.653,14,150,79,11
16,17,2016-07-01 16:00:00,上海,浦东川沙,55.0,良,颗粒物(PM10),34,59,0.623,13,142,93,11
17,18,2016-07-01 17:00:00,上海,浦东川沙,55.0,良,颗粒物(PM10),34,60,0.637,15,131,105,10
18,19,2016-07-01 18:00:00,上海,浦东川沙,54.0,良,颗粒物(PM10),34,57,0.625,15,124,115,10
19,20,2016-07-01 19:00:00,上海,浦东川沙,52.0,良,颗粒物(PM10),31,54,0.618,17,103,120,10
20,21,2016-07-01 20:00:00,上海,浦东川沙,53.0,良,颗粒物(PM10),28,55,0.587,16,85,121,9
21,22,2016-07-01 21:00:00,上海,浦东川沙,56.0,良,颗粒物(PM10),25,61,0.647,24,56,115,10
22,23,2016-07-01 22:00:00,上海,浦东川沙,57.0,良,颗粒物(PM10),26,64,0.905,59,3,99,15
23,24,2016-07-01 23:00:00,上海,浦东川沙,59.0,良,颗粒物(PM10),26,68,0.929,56,2,81,15
24,25,2016-07-02 00:00:00,上海,浦东川沙,63.0,良,颗粒物(PM10),28,76,0.99,56,2,63,16
25,26,2016-07-02 01:00:00,上海,浦东川沙,43.0,优,颗粒物(PM10),28,43,0.843,45,8,48,18
26,27,2016-07-02 02:00:00,上海,浦东川沙,49.0,优,颗粒物(PM10),15,49,0.683,34,14,34,14
27,28,2016-07-02 03:00:00,上海,浦东川沙,50.0,优,颗粒物(PM10),17,50,0.742,38,9,22,14
28,29,2016-07-02 04:00:00,上海,浦东川沙,53.0,良,颗粒物(PM10),22,56,0.585,16,33,16,12
29,30,2016-07-02 05:00:00,上海,浦东川沙,49.0,优,颗粒物(PM10),22,49,0.654,18,30,13,11
30,31,2016-07-02 06:00:00,上海,浦东川沙,40.0,优,颗粒物(PM10),11,40,0.862,37,13,14,10
31,32,2016-07-02 07:00:00,上海,浦东川沙,35.0,优,颗粒物(PM10),8,35,0.883,37,17,16,10
32,33,2016-07-02 08:00:00,上海,浦东川沙,28.0,优,颗粒物(PM10),5,28,0.845,36,27,19,10
33,34,2016-07-02 09:00:00,上海,浦东川沙,41.0,优,颗粒物(PM10),9,41,0.888,41,24,21,11
34,35,2016-07-02 10:00:00,上海,浦东川沙,28.0,优,颗粒物(PM10),8,28,0.839,39,30,23,10
35,36,2016-07-02 11:00:00,上海,浦东川沙,42.0,优,颗粒物(PM10),7,42,0.853,36,38,26,10
36,37,2016-07-02 12:00:00,上海,浦东川沙,31.0,优,颗粒物(PM10),10,31,0.798,27,52,29,9
37,38,2016-07-02 13:00:00,上海,浦东川沙,49.0,优,颗粒物(PM10),11,49,0.767,28,63,33,10
38,39,2016-07-02 14:00:00,上海,浦东川沙,51.0,良,颗粒物(PM10),15,52,0.766,32,74,41,9
39,40,2016-07-02 15:00:00,上海,浦东川沙,59.0,良,颗粒物(PM10),16,67,0.903,61,42,44,14
40,41,2016-07-02 16:00:00,上海,浦东川沙,51.0,良,颗粒物(PM10),29,52,0.87,50,54,47,15
41,42,2016-07-02 17:00:00,上海,浦东川沙,57.0,良,颗粒物(PM10),24,63,0.803,25,76,54,13
42,43,2016-07-02 18:00:00,上海,浦东川沙,51.0,良,颗粒物(PM10),26,52,0.725,25,70,59,11
43,44,2016-07-02 19:00:00,上海,浦东川沙,39.0,优,颗粒物(PM10),27,38,0.717,21,68,62,11
44,45,2016-07-02 20:00:00,上海,浦东川沙,44.0,优,颗粒物(PM10),19,44,0.648,15,73,65,10
45,46,2016-07-02 21:00:00,上海,浦东川沙,25.0,优,颗粒物(PM10),9,25,0.557,13,70,66,10
46,47,2016-07-02 22:00:00,上海,浦东川沙,30.0,优,颗粒物(PM10),9,30,0.552,24,55,64,10
47,48,2016-07-02 23:00:00,上海,浦东川沙,29.0,优,颗粒物(PM10),9,29,0.541,32,41,63,10
48,49,2016-07-03 00:00:00,上海,浦东川沙,34.0,优,颗粒物(PM10),9,34,0.54,27,49,63,10
49,50,2016-07-03 01:00:00,上海,浦东川沙,38.0,优,颗粒物(PM10),12,38,0.554,32,45,59,11
50,51,2016-07-03 02:00:00,上海,浦东川沙,31.0,优,颗粒物(PM10),14,31,0.579,29,47,56,11
51,52,2016-07-03 03:00:00,上海,浦东川沙,33.0,优,颗粒物(PM10),12,33,0.595,30,43,53,10
52,53,2016-07-03 04:00:00,上海,浦东川沙,45.0,优,颗粒物(PM10),9,45,0.575,30,41,49,11
53,54,2016-07-03 05:00:00,上海,浦东川沙,52.0,良,颗粒物(PM10),22,54,0.518,16,42,45,11
54,55,2016-07-03 06:00:00,上海,浦东川沙,48.0,优,颗粒物(PM10),31,48,0.582,26,27,42,11
55,56,2016-07-03 07:00:00,上海,浦东川沙,48.0,优,颗粒物(PM10),33,42,0.577,18,34,41,11
56,57,2016-07-03 08:00:00,上海,浦东川沙,52.0,良,细颗粒物(PM2.5),36,48,0.66,23,30,39,12
57,58,2016-07-03 09:00:00,上海,浦东川沙,53.0,良,颗粒物(PM10),32,55,0.707,25,31,37,12
58,59,2016-07-03 10:00:00,上海,浦东川沙,57.0,良,颗粒物(PM10),31,64,0.751,26,41,36,12
59,60,2016-07-03 11:00:00,上海,浦东川沙,59.0,良,颗粒物(PM10),36,68,0.736,25,72,40,12
60,61,2016-07-03 12:00:00,上海,浦东川沙,65.0,良,颗粒物(PM10)细颗粒物(PM2.5),47,79,0.752,22,121,50,12
61,62,2016-07-03 13:00:00,上海,浦东川沙,70.0,良,细颗粒物(PM2.5),51,70,0.834,24,145,63,11
62,63,2016-07-03 14:00:00,上海,浦东川沙,65.0,良,细颗粒物(PM2.5),47,66,0.848,30,130,76,11
