,id,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,1,2016-07-01 00:00:00,上海,浦东张江,48.0,优,,33,40,0.818,24,60,115,12
1,2,2016-07-01 01:00:00,上海,浦东张江,52.0,良,细颗粒物(PM2.5),36,36,0.833,30,40,98,13
2,3,2016-07-01 02:00:00,上海,浦东张江,50.0,优,细颗粒物(PM2.5),35,36,0.822,30,26,81,13
3,4,2016-07-01 03:00:00,上海,浦东张江,40.0,优,细颗粒物(PM2.5),28,32,0.8,23,29,67,12
4,5,2016-07-01 04:00:00,上海,浦东张江,29.0,优,细颗粒物(PM2.5),20,32,0.688,13,30,55,11
5,6,2016-07-01 05:00:00,上海,浦东张江,20.0,优,细颗粒物(PM2.5),14,32,0.775,24,18,44,13
6,7,2016-07-01 06:00:00,上海,浦东张江,20.0,优,细颗粒物(PM2.5),14,16,0.771,35,7,36,13
7,8,2016-07-01 07:00:00,上海,浦东张江,25.0,优,细颗粒物(PM2.5),17,17,0.83,30,11,28,14
8,9,2016-07-01 08:00:00,上海,浦东张江,31.0,优,细颗粒物(PM2.5),18,31,0.833,29,18,22,13
9,10,2016-07-01 09:00:00,上海,浦东张江,50.0,优,细颗粒物(PM2.5),28,50,0.925,32,27,21,13
10,11,2016-07-01 10:00:00,上海,浦东张江,57.0,良,细颗粒物(PM2.5),40,50,0.904,27,44,23,15
11,12,2016-07-01 11:00:00,上海,浦东张江,50.0,优,细颗粒物(PM2.5),35,38,0.883,24,59,27,16
12,13,2016-07-01 12:00:00,上海,浦东张江,58.0,良,细颗粒物(PM2.5),41,38,0.858,22,75,32,16
13,14,2016-07-01 13:00:00,上海,浦东张江,55.0,良,细颗粒物(PM2.5),39,38,0.861,21,102,43,15
14,15,2016-07-01 14:00:00,上海,浦东张江,53.0,良,细颗粒物(PM2.5),37,42,0.861,20,124,58,15
15,16,2016-07-01 15:00:00,上海,浦东张江,55.0,良,细颗粒物(PM2.5),39,39,0.838,21,142,74,14
16,17,2016-07-01 16:00:00,上海,浦东张江,53.0,良,细颗粒物(PM2.5),37,50,0.841,24,141,89,13
17,18,2016-07-01 17:00:00,上海,浦东张江,58.0,良,细颗粒物(PM2.5),41,47,0.879,24,135,103,12
18,19,2016-07-01 18:00:00,上海,浦东张江,60.0,良,细颗粒物(PM2.5),43,47,0.92,35,115,112,12
19,20,2016-07-01 19:00:00,上海,浦东张江,59.0,良,细颗粒物(PM2.5),42,45,0.969,47,88,115,12
20,21,2016-07-01 20:00:00,上海,浦东张江,54.0,良,细颗粒物(PM2.5),38,48,0.914,38,79,116,12
21,22,2016-07-01 21:00:00,上海,浦东张江,62.0,良,细颗粒物(PM2.5),44,44,0.882,41,54,110,13
22,23,2016-07-01 22:00:00,上海,浦东张江,60.0,良,细颗粒物(PM2.5),43,44,1.05,54,18,96,15
23,24,2016-07-01 23:00:00,上海,浦东张江,50.0,优,细颗粒物(PM2.5),35,39,1.126,60,9,80,15
24,25,2016-07-02 00:00:00,上海,浦东张江,53.0,良,细颗粒物(PM2.5),37,37,1.128,62,5,63,15
25,26,2016-07-02 01:00:00,上海,浦东张江,52.0,良,细颗粒物(PM2.5),36,37,1.061,59,4,46,24
26,27,2016-07-02 02:00:00,上海,浦东张江,45.0,优,细颗粒物(PM2.5),31,37,0.933,49,7,33,20
27,28,2016-07-02 03:00:00,上海,浦东张江,38.0,优,细颗粒物(PM2.5),26,29,0.865,38,14,24,16
28,29,2016-07-02 04:00:00,上海,浦东张江,38.0,优,细颗粒物(PM2.5),26,26,0.748,16,36,18,14
29,30,2016-07-02 05:00:00,上海,浦东张江,39.0,优,细颗粒物(PM2.5),27,26,0.842,26,24,15,12
30,31,2016-07-02 06:00:00,上海,浦东张江,20.0,优,细颗粒物(PM2.5),14,26,0.897,32,20,15,11
31,32,2016-07-02 07:00:00,上海,浦东张江,15.0,优,细颗粒物(PM2.5),7,26,0.834,29,27,17,11
32,33,2016-07-02 08:00:00,上海,浦东张江,14.0,优,细颗粒物(PM2.5),7,10,0.797,28,34,21,11
33,34,2016-07-02 09:00:00,上海,浦东张江,16.0,优,细颗粒物(PM2.5),7,8,0.835,31,30,24,11
34,35,2016-07-02 10:00:00,上海,浦东张江,18.0,优,细颗粒物(PM2.5),12,8,0.833,26,40,28,11
35,36,2016-07-02 11:00:00,上海,浦东张江,18.0,优,细颗粒物(PM2.5),12,8,0.91,26,41,32,12
36,37,2016-07-02 12:00:00,上海,浦东张江,16.0,优,细颗粒物(PM2.5),11,13,0.917,27,47,33,11
37,38,2016-07-02 13:00:00,上海,浦东张江,20.0,优,细颗粒物(PM2.5),12,14,0.955,28,64,38,11
