,id,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,1,2016-07-01 00:00:00,上海,青浦淀山湖,77.0,良,细颗粒物(PM2.5),56,57,0.488,31,74,104,6
1,2,2016-07-01 01:00:00,上海,青浦淀山湖,67.0,良,细颗粒物(PM2.5),48,57,0.499,43,43,87,6
2,3,2016-07-01 02:00:00,上海,青浦淀山湖,67.0,良,细颗粒物(PM2.5),48,57,0.498,33,42,70,8
3,4,2016-07-01 03:00:00,上海,青浦淀山湖,49.0,优,细颗粒物(PM2.5),34,57,0.397,9,53,68,5
4,5,2016-07-01 04:00:00,上海,青浦淀山湖,23.0,优,细颗粒物(PM2.5),16,57,0.434,22,27,66,5
5,6,2016-07-01 05:00:00,上海,青浦淀山湖,30.0,优,细颗粒物(PM2.5),21,57,0.507,26,19,58,11
6,7,2016-07-01 06:00:00,上海,青浦淀山湖,50.0,优,细颗粒物(PM2.5),35,57,0.6,27,18,46,8
7,8,2016-07-01 07:00:00,上海,青浦淀山湖,57.0,良,细颗粒物(PM2.5),40,57,0.586,22,20,37,8
8,9,2016-07-01 08:00:00,上海,青浦淀山湖,49.0,优,细颗粒物(PM2.5),34,34,0.558,19,21,30,7
9,10,2016-07-01 09:00:00,上海,青浦淀山湖,49.0,优,细颗粒物(PM2.5),34,35,0.613,25,27,28,8
10,11,2016-07-01 10:00:00,上海,青浦淀山湖,60.0,良,细颗粒物(PM2.5),43,35,0.587,25,35,28,8
11,12,2016-07-01 11:00:00,上海,青浦淀山湖,62.0,良,细颗粒物(PM2.5),44,35,0.56,20,59,28,8
12,13,2016-07-01 12:00:00,上海,青浦淀山湖,60.0,良,细颗粒物(PM2.5),43,35,0.544,18,80,35,9
13,14,2016-07-01 13:00:00,上海,青浦淀山湖,53.0,良,细颗粒物(PM2.5),37,35,0.523,10,107,46,11
14,15,2016-07-01 14:00:00,上海,青浦淀山湖,52.0,良,细颗粒物(PM2.5),36,41,0.53,10,134,60,11
15,16,2016-07-01 15:00:00,上海,青浦淀山湖,53.0,良,细颗粒物(PM2.5),37,39,0.554,11,139,75,9
16,17,2016-07-01 16:00:00,上海,青浦淀山湖,41.0,优,细颗粒物(PM2.5),28,32,0.556,15,131,89,7
17,18,2016-07-01 17:00:00,上海,青浦淀山湖,39.0,优,细颗粒物(PM2.5),27,31,0.567,17,116,100,7
18,19,2016-07-01 18:00:00,上海,青浦淀山湖,41.0,优,细颗粒物(PM2.5),27,41,0.594,33,101,108,8
