,id,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,1,2018-01-01 01:00:00,上海,静安监测站,284.0,重度污染,细颗粒物(PM2.5),234,248,2.4,104,11,11,12
1,2,2018-01-01 02:00:00,上海,静安监测站,291.0,重度污染,细颗粒物(PM2.5),241,247,2.3,100,12,12,14
2,3,2018-01-01 10:00:00,上海,静安监测站,120.0,轻度污染,细颗粒物(PM2.5),91,247,1.5,52,67,67,14
3,4,2018-01-01 11:00:00,上海,静安监测站,102.0,轻度污染,细颗粒物(PM2.5),76,247,1.3,43,79,44,14
4,5,2018-01-01 12:00:00,上海,静安监测站,69.0,良,细颗粒物(PM2.5),50,70,1.2,49,76,48,14
5,6,2018-01-01 13:00:00,上海,静安监测站,79.0,良,细颗粒物(PM2.5),58,70,1.2,53,76,55,14
6,7,2018-01-01 14:00:00,上海,静安监测站,79.0,良,细颗粒物(PM2.5),58,66,1.1,46,84,64,15
7,8,2018-01-01 15:00:00,上海,静安监测站,73.0,良,细颗粒物(PM2.5),53,66,1.0,43,86,71,15
8,9,2018-01-01 16:00:00,上海,静安监测站,68.0,良,颗粒物(PM10),41,86,1.0,45,82,76,15
9,10,2018-01-01 17:00:00,上海,静安监测站,59.0,良,细颗粒物(PM2.5),42,86,0.9,45,78,78,14
10,11,2018-01-01 18:00:00,上海,静安监测站,42.0,优,细颗粒物(PM2.5),29,29,0.9,43,77,80,13
11,12,2018-01-01 19:00:00,上海,静安监测站,36.0,优,细颗粒物(PM2.5),25,33,1.0,56,64,78,14
12,13,2018-01-01 20:00:00,上海,静安监测站,48.0,优,细颗粒物(PM2.5),33,33,1.1,68,50,75,14
13,14,2018-01-01 21:00:00,上海,静安监测站,52.0,良,细颗粒物(PM2.5),36,33,1.1,70,47,71,15
14,15,2018-01-01 23:00:00,上海,静安监测站,52.0,良,细颗粒物(PM2.5),36,33,1.0,68,51,62,15
15,16,2018-01-02 01:00:00,上海,静安监测站,40.0,优,细颗粒物(PM2.5),28,33,0.9,47,69,69,12
16,17,2018-01-02 02:00:00,上海,静安监测站,43.0,优,细颗粒物(PM2.5),30,34,0.9,39,72,70,11
17,18,2018-01-02 03:00:00,上海,静安监测站,46.0,优,细颗粒物(PM2.5),32,32,0.9,33,76,72,10
18,19,2018-01-02 04:00:00,上海,静安监测站,45.0,优,细颗粒物(PM2.5),31,32,0.9,28,78,74,10
19,20,2018-01-02 05:00:00,上海,静安监测站,42.0,优,细颗粒物(PM2.5),29,32,0.9,25,79,75,11
20,21,2018-01-02 06:00:00,上海,静安监测站,38.0,优,细颗粒物(PM2.5),26,32,0.9,33,70,74,10
21,22,2018-01-02 07:00:00,上海,静安监测站,33.0,优,细颗粒物(PM2.5),23,25,0.9,43,62,72,10
22,23,2018-01-02 08:00:00,上海,静安监测站,38.0,优,细颗粒物(PM2.5),24,38,1.0,60,49,69,10
23,24,2018-01-02 09:00:00,上海,静安监测站,51.0,良,颗粒物(PM10),28,51,1.1,60,51,67,10
24,25,2018-01-02 10:00:00,上海,静安监测站,50.0,优,颗粒物(PM10),35,50,1.2,52,60,66,11
25,26,2018-01-02 11:00:00,上海,静安监测站,53.0,良,细颗粒物(PM2.5),37,47,1.2,46,68,65,11
26,27,2018-01-02 13:00:00,上海,静安监测站,46.0,优,细颗粒物(PM2.5),32,40,1.2,36,81,63,10
27,28,2018-01-02 14:00:00,上海,静安监测站,39.0,优,细颗粒物(PM2.5),26,39,0.8,39,79,64,10
28,29,2018-01-02 17:00:00,上海,静安监测站,46.0,优,细颗粒物(PM2.5),23,46,0.6,46,64,70,9
29,30,2018-01-02 18:00:00,上海,静安监测站,44.0,优,细颗粒物(PM2.5),19,44,0.6,57,54,69,10
30,31,2018-01-02 19:00:00,上海,静安监测站,41.0,优,细颗粒物(PM2.5),23,41,0.7,62,49,66,10
31,32,2018-01-02 20:00:00,上海,静安监测站,43.0,优,细颗粒物(PM2.5),24,43,0.7,65,45,64,10
32,33,2018-01-02 21:00:00,上海,静安监测站,47.0,优,细颗粒物(PM2.5),21,47,0.7,54,52,60,12
33,34,2018-01-02 22:00:00,上海,静安监测站,39.0,优,细颗粒物(PM2.5),27,33,0.7,54,51,57,13
34,35,2018-01-02 23:00:00,上海,静安监测站,36.0,优,细颗粒物(PM2.5),25,33,0.7,48,56,55,11
35,36,2018-01-03 00:00:00,上海,静安监测站,33.0,优,细颗粒物(PM2.5),23,29,0.6,43,59,54,9
36,37,2018-01-03 01:00:00,上海,静安监测站,30.0,优,细颗粒物(PM2.5),21,29,0.5,38,61,61,9
37,38,2018-01-03 02:00:00,上海,静安监测站,23.0,优,细颗粒物(PM2.5),9,29,0.5,27,71,66,9
38,39,2018-01-03 03:00:00,上海,静安监测站,25.0,优,细颗粒物(PM2.5),9,14,0.5,19,80,71,8
39,40,2018-01-03 04:00:00,上海,静安监测站,26.0,优,细颗粒物(PM2.5),9,14,0.5,19,82,74,8
40,41,2018-01-03 05:00:00,上海,静安监测站,27.0,优,细颗粒物(PM2.5),9,22,0.5,19,84,76,9
41,42,2018-01-03 06:00:00,上海,静安监测站,34.0,优,细颗粒物(PM2.5),15,34,0.5,23,85,77,9
42,43,2018-01-03 07:00:00,上海,静安监测站,56.0,良,颗粒物(PM10),17,61,0.6,29,88,79,9
43,44,2018-01-03 08:00:00,上海,静安监测站,56.0,良,颗粒物(PM10),28,62,0.7,36,82,79,9
44,45,2018-01-03 09:00:00,上海,静安监测站,53.0,良,颗粒物(PM10),27,56,0.7,39,76,81,9
45,46,2018-01-03 10:00:00,上海,静安监测站,48.0,优,颗粒物(PM10),25,48,0.8,38,69,81,9
46,47,2018-01-03 11:00:00,上海,静安监测站,53.0,良,颗粒物(PM10),29,56,0.8,47,57,78,9
47,48,2018-01-03 12:00:00,上海,静安监测站,53.0,良,颗粒物(PM10),29,56,0.7,39,60,75,9
48,49,2018-01-03 13:00:00,上海,静安监测站,60.0,良,颗粒物(PM10),26,70,0.8,37,62,72,9
49,50,2018-01-03 14:00:00,上海,静安监测站,61.0,良,颗粒物(PM10),35,71,0.7,36,62,70,9
50,51,2018-01-03 17:00:00,上海,静安监测站,55.0,良,颗粒物(PM10),30,60,0.6,36,63,62,9
51,52,2018-01-03 18:00:00,上海,静安监测站,41.0,优,颗粒物(PM10),20,41,0.6,34,61,61,8
52,53,2018-01-03 19:00:00,上海,静安监测站,31.0,优,颗粒物(PM10),20,31,0.6,38,56,61,8
53,54,2018-01-03 20:00:00,上海,静安监测站,30.0,优,颗粒物(PM10),14,30,0.6,36,57,61,8
54,55,2018-01-03 21:00:00,上海,静安监测站,25.0,优,颗粒物(PM10),14,25,0.6,36,57,60,7
55,56,2018-01-03 22:00:00,上海,静安监测站,23.0,优,颗粒物(PM10),8,23,0.6,32,60,60,7
