,id,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,1,2018-01-01 01:00:00,上海,浦东新区监测站,301.0,严重污染,细颗粒物(PM2.5),251,,2.0,81,20,20,14
1,2,2018-01-01 02:00:00,上海,浦东新区监测站,280.0,重度污染,细颗粒物(PM2.5),230,,1.9,85,18,19,14
2,3,2018-01-01 10:00:00,上海,浦东新区监测站,148.0,轻度污染,细颗粒物(PM2.5),113,,1.3,44,71,71,14
3,4,2018-01-01 11:00:00,上海,浦东新区监测站,118.0,轻度污染,细颗粒物(PM2.5),89,,1.1,41,74,45,14
4,5,2018-01-01 12:00:00,上海,浦东新区监测站,84.0,良,细颗粒物(PM2.5),62,,1.0,37,85,53,14
5,6,2018-01-01 13:00:00,上海,浦东新区监测站,77.0,良,细颗粒物(PM2.5),56,,0.9,29,96,62,15
6,7,2018-01-01 14:00:00,上海,浦东新区监测站,68.0,良,细颗粒物(PM2.5),49,,0.8,29,96,70,15
7,8,2018-01-01 15:00:00,上海,浦东新区监测站,54.0,良,细颗粒物(PM2.5),38,56,0.8,30,96,76,14
8,9,2018-01-01 16:00:00,上海,浦东新区监测站,51.0,良,颗粒物(PM10),35,51,0.8,38,84,81,14
9,10,2018-01-01 17:00:00,上海,浦东新区监测站,42.0,优,颗粒物(PM10),29,31,0.8,42,74,84,12
10,11,2018-01-01 18:00:00,上海,浦东新区监测站,33.0,优,颗粒物(PM10),23,24,0.8,51,61,83,10
11,12,2018-01-01 19:00:00,上海,浦东新区监测站,38.0,优,颗粒物(PM10),26,33,0.9,73,37,79,11
12,13,2018-01-01 20:00:00,上海,浦东新区监测站,43.0,优,颗粒物(PM10),24,40,0.9,86,23,71,11
13,14,2018-01-01 21:00:00,上海,浦东新区监测站,41.0,优,颗粒物(PM10),26,41,0.9,82,29,62,12
14,15,2018-01-01 23:00:00,上海,浦东新区监测站,52.0,良,细颗粒物(PM2.5),36,50,1.0,97,15,44,14
15,16,2018-01-02 01:00:00,上海,浦东新区监测站,40.0,优,细颗粒物(PM2.5),25,40,0.8,51,62,62,10
16,17,2018-01-02 02:00:00,上海,浦东新区监测站,46.0,优,细颗粒物(PM2.5),32,41,0.8,41,70,66,10
17,18,2018-01-02 03:00:00,上海,浦东新区监测站,38.0,优,细颗粒物(PM2.5),26,34,0.8,29,82,71,10
18,19,2018-01-02 04:00:00,上海,浦东新区监测站,35.0,优,细颗粒物(PM2.5),24,35,0.7,28,77,73,9
19,20,2018-01-02 05:00:00,上海,浦东新区监测站,32.0,优,细颗粒物(PM2.5),22,32,0.7,30,76,73,9
20,21,2018-01-02 06:00:00,上海,浦东新区监测站,31.0,优,细颗粒物(PM2.5),20,31,0.7,27,78,74,9
21,22,2018-01-02 07:00:00,上海,浦东新区监测站,34.0,优,细颗粒物(PM2.5),19,34,0.7,39,65,73,9
22,23,2018-01-02 08:00:00,上海,浦东新区监测站,44.0,优,细颗粒物(PM2.5),24,44,0.8,48,57,71,9
23,24,2018-01-02 09:00:00,上海,浦东新区监测站,51.0,良,颗粒物(PM10),32,51,0.9,49,59,70,10
24,25,2018-01-02 10:00:00,上海,浦东新区监测站,52.0,良,颗粒物(PM10),29,54,0.9,51,63,70,10
25,26,2018-01-02 11:00:00,上海,浦东新区监测站,48.0,优,颗粒物(PM10),33,46,0.9,37,77,69,10
26,27,2018-01-02 13:00:00,上海,浦东新区监测站,37.0,优,颗粒物(PM10),24,37,0.8,28,87,71,9
27,28,2018-01-02 14:00:00,上海,浦东新区监测站,41.0,优,颗粒物(PM10),24,41,0.8,33,80,72,9
28,29,2018-01-02 17:00:00,上海,浦东新区监测站,35.0,优,颗粒物(PM10),13,35,0.7,46,62,75,9
29,30,2018-01-02 18:00:00,上海,浦东新区监测站,34.0,优,颗粒物(PM10),17,34,0.8,58,49,73,9
