,id,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,1,2016-07-01 00:00:00,上海,十五厂,70.0,良,颗粒物(PM10),37,90,0.781,40,43,90,11
1,2,2016-07-01 01:00:00,上海,十五厂,52.0,良,颗粒物(PM10),35,53,0.771,43,29,77,14
2,3,2016-07-01 02:00:00,上海,十五厂,53.0,良,细颗粒物(PM2.5),37,50,0.784,46,16,64,14
3,4,2016-07-01 03:00:00,上海,十五厂,69.0,良,颗粒物(PM10),40,88,0.761,38,15,51,11
4,5,2016-07-01 04:00:00,上海,十五厂,52.0,良,颗粒物(PM10),28,53,0.631,22,24,44,9
5,6,2016-07-01 05:00:00,上海,十五厂,22.0,优,颗粒物(PM10),15,53,0.577,19,25,34,7
6,7,2016-07-01 06:00:00,上海,十五厂,14.0,优,颗粒物(PM10),9,53,0.654,27,16,28,8
7,8,2016-07-01 07:00:00,上海,十五厂,25.0,优,颗粒物(PM10),17,24,0.898,36,10,22,10
8,9,2016-07-01 08:00:00,上海,十五厂,52.0,良,颗粒物(PM10),19,53,0.977,41,11,18,11
9,10,2016-07-01 09:00:00,上海,十五厂,69.0,良,颗粒物(PM10),22,88,0.974,46,16,17,10
10,11,2016-07-01 10:00:00,上海,十五厂,59.0,良,颗粒物(PM10),36,68,1.044,46,29,18,12
11,12,2016-07-01 11:00:00,上海,十五厂,57.0,良,细颗粒物(PM2.5),40,68,0.95,44,37,21,13
12,13,2016-07-01 12:00:00,上海,十五厂,52.0,良,细颗粒物(PM2.5),36,44,0.947,43,51,24,14
13,14,2016-07-01 13:00:00,上海,十五厂,57.0,良,细颗粒物(PM2.5),40,44,0.843,38,82,32,16
14,15,2016-07-01 14:00:00,上海,十五厂,55.0,良,细颗粒物(PM2.5),39,44,0.757,28,112,44,13
15,16,2016-07-01 15:00:00,上海,十五厂,50.0,优,细颗粒物(PM2.5),35,44,0.712,29,101,55,11
16,17,2016-07-01 16:00:00,上海,十五厂,35.0,优,细颗粒物(PM2.5),24,44,0.668,28,93,65,10
17,18,2016-07-01 17:00:00,上海,十五厂,64.0,良,颗粒物(PM10),24,77,0.726,38,88,74,10
18,19,2016-07-01 18:00:00,上海,十五厂,81.0,良,颗粒物(PM10),32,111,0.818,55,68,79,11
19,20,2016-07-01 19:00:00,上海,十五厂,62.0,良,颗粒物(PM10),30,74,0.864,58,60,82,11
20,21,2016-07-01 20:00:00,上海,十五厂,122.0,轻度污染,颗粒物(PM10),39,194,0.992,67,44,81,12
21,22,2016-07-01 21:00:00,上海,十五厂,91.0,良,颗粒物(PM10),46,131,0.939,59,30,74,12
22,23,2016-07-01 22:00:00,上海,十五厂,45.0,优,颗粒物(PM10),31,131,0.819,37,30,64,11
23,24,2016-07-01 23:00:00,上海,十五厂,39.0,优,颗粒物(PM10),27,131,0.839,52,13,53,10
24,25,2016-07-02 00:00:00,上海,十五厂,51.0,良,颗粒物(PM10),29,51,0.947,59,9,43,11
25,26,2016-07-02 01:00:00,上海,十五厂,69.0,良,颗粒物(PM10),36,88,0.999,59,7,33,16
26,27,2016-07-02 02:00:00,上海,十五厂,59.0,良,颗粒物(PM10),31,68,0.944,54,6,25,20
27,28,2016-07-02 03:00:00,上海,十五厂,74.0,良,颗粒物(PM10),28,98,0.846,47,7,18,12
28,29,2016-07-02 04:00:00,上海,十五厂,67.0,良,颗粒物(PM10),29,83,0.705,24,28,16,10
29,30,2016-07-02 05:00:00,上海,十五厂,42.0,优,颗粒物(PM10),29,83,0.778,31,22,15,8
30,31,2016-07-02 06:00:00,上海,十五厂,15.0,优,颗粒物(PM10),9,83,0.781,29,24,14,7
31,32,2016-07-02 07:00:00,上海,十五厂,14.0,优,颗粒物(PM10),6,83,0.714,27,34,17,7
32,33,2016-07-02 08:00:00,上海,十五厂,14.0,优,颗粒物(PM10),2,9,0.731,27,39,21,7
33,34,2016-07-02 09:00:00,上海,十五厂,14.0,优,颗粒物(PM10),5,9,0.775,27,39,25,7
34,35,2016-07-02 10:00:00,上海,十五厂,16.0,优,颗粒物(PM10),9,9,0.886,32,37,29,7
35,36,2016-07-02 11:00:00,上海,十五厂,16.0,优,颗粒物(PM10),10,9,0.879,31,38,33,7
36,37,2016-07-02 12:00:00,上海,十五厂,20.0,优,颗粒物(PM10),14,9,0.931,32,42,34,7
37,38,2016-07-02 13:00:00,上海,十五厂,24.0,优,颗粒物(PM10),14,24,0.919,28,62,39,7
38,39,2016-07-02 14:00:00,上海,十五厂,40.0,优,颗粒物(PM10),19,40,0.917,31,82,47,8
39,40,2016-07-02 15:00:00,上海,十五厂,46.0,优,颗粒物(PM10),26,46,0.903,30,89,54,8
40,41,2016-07-02 16:00:00,上海,十五厂,47.0,优,颗粒物(PM10),28,47,1.024,40,72,58,8
41,42,2016-07-02 17:00:00,上海,十五厂,47.0,优,颗粒物(PM10),27,47,1.032,45,50,59,8
42,43,2016-07-02 18:00:00,上海,十五厂,46.0,优,颗粒物(PM10),26,46,1.317,56,38,59,10
43,44,2016-07-02 19:00:00,上海,十五厂,49.0,优,颗粒物(PM10),34,38,1.275,53,34,59,10
44,45,2016-07-02 20:00:00,上海,十五厂,58.0,良,细颗粒物(PM2.5),41,60,1.109,48,32,57,9
45,46,2016-07-02 21:00:00,上海,十五厂,38.0,优,细颗粒物(PM2.5),26,60,0.978,42,34,54,8
