,id,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,1,2016-07-01 00:00:00,上海,徐汇上师大,57.0,良,颗粒物(PM10),36,63,0.35,50,53,119,5
1,2,2016-07-01 01:00:00,上海,徐汇上师大,50.0,优,颗粒物(PM10),32,50,0.313,48,43,101,6
2,3,2016-07-01 02:00:00,上海,徐汇上师大,48.0,优,颗粒物(PM10),33,43,0.317,61,28,81,5
3,4,2016-07-01 03:00:00,上海,徐汇上师大,51.0,良,颗粒物(PM10),32,51,0.244,43,23,65,4
4,5,2016-07-01 04:00:00,上海,徐汇上师大,39.0,优,颗粒物(PM10),27,30,0.127,26,28,54,2
5,6,2016-07-01 05:00:00,上海,徐汇上师大,29.0,优,颗粒物(PM10),20,30,0.09,27,23,42,1
6,7,2016-07-01 06:00:00,上海,徐汇上师大,23.0,优,颗粒物(PM10),16,30,0.094,32,21,34,1
7,8,2016-07-01 07:00:00,上海,徐汇上师大,25.0,优,颗粒物(PM10),17,30,0.171,40,16,29,2
8,9,2016-07-01 08:00:00,上海,徐汇上师大,29.0,优,颗粒物(PM10),20,24,0.355,46,16,25,2
9,10,2016-07-01 09:00:00,上海,徐汇上师大,39.0,优,颗粒物(PM10),23,39,0.268,50,21,22,3
10,11,2016-07-01 10:00:00,上海,徐汇上师大,53.0,良,颗粒物(PM10),30,56,0.883,52,33,23,8
11,12,2016-07-01 11:00:00,上海,徐汇上师大,51.0,良,颗粒物(PM10),35,52,0.861,46,53,26,9
12,13,2016-07-01 12:00:00,上海,徐汇上师大,50.0,优,颗粒物(PM10),35,50,0.811,41,75,32,10
13,14,2016-07-01 13:00:00,上海,徐汇上师大,46.0,优,颗粒物(PM10),32,42,0.788,29,121,44,9
14,15,2016-07-01 14:00:00,上海,徐汇上师大,45.0,优,颗粒物(PM10),31,32,0.698,21,131,58,9
15,16,2016-07-01 15:00:00,上海,徐汇上师大,39.0,优,颗粒物(PM10),23,29,0.659,16,123,72,8
16,17,2016-07-01 16:00:00,上海,徐汇上师大,41.0,优,颗粒物(PM10),21,28,0.672,20,129,86,8
17,18,2016-07-01 17:00:00,上海,徐汇上师大,39.0,优,颗粒物(PM10),22,32,0.71,24,124,99,7
18,19,2016-07-01 18:00:00,上海,徐汇上师大,36.0,优,颗粒物(PM10),22,36,0.716,32,113,109,7
19,20,2016-07-01 19:00:00,上海,徐汇上师大,45.0,优,颗粒物(PM10),24,45,0.767,52,90,113,8
20,21,2016-07-01 20:00:00,上海,徐汇上师大,53.0,良,颗粒物(PM10),28,56,0.793,56,71,113,8
21,22,2016-07-01 21:00:00,上海,徐汇上师大,59.0,良,颗粒物(PM10),30,67,0.801,54,47,104,10
22,23,2016-07-01 22:00:00,上海,徐汇上师大,42.0,优,颗粒物(PM10),26,42,0.747,47,34,91,9
23,24,2016-07-01 23:00:00,上海,徐汇上师大,30.0,优,颗粒物(PM10),21,27,0.756,52,28,80,8
24,25,2016-07-02 00:00:00,上海,徐汇上师大,34.0,优,颗粒物(PM10),19,28,0.811,67,13,65,8
25,26,2016-07-02 01:00:00,上海,徐汇上师大,53.0,良,颗粒物(PM10),22,56,0.889,73,11,51,8
26,27,2016-07-02 02:00:00,上海,徐汇上师大,62.0,良,颗粒物(PM10),30,74,0.982,67,10,38,14
27,28,2016-07-02 03:00:00,上海,徐汇上师大,52.0,良,颗粒物(PM10),30,53,0.734,51,18,29,12
28,29,2016-07-02 04:00:00,上海,徐汇上师大,48.0,优,颗粒物(PM10),29,48,0.687,31,35,24,10
29,30,2016-07-02 05:00:00,上海,徐汇上师大,32.0,优,颗粒物(PM10),17,32,0.686,42,26,22,6
30,31,2016-07-02 06:00:00,上海,徐汇上师大,20.0,优,颗粒物(PM10),14,32,0.683,34,32,22,5
31,32,2016-07-02 07:00:00,上海,徐汇上师大,17.0,优,颗粒物(PM10),8,32,0.624,33,42,23,5
32,33,2016-07-02 08:00:00,上海,徐汇上师大,21.0,优,颗粒物(PM10),7,32,0.622,41,40,27,5
33,34,2016-07-02 09:00:00,上海,徐汇上师大,21.0,优,颗粒物(PM10),9,12,0.641,42,42,31,5
34,35,2016-07-02 10:00:00,上海,徐汇上师大,19.0,优,颗粒物(PM10),9,11,0.705,38,48,35,6
35,36,2016-07-02 11:00:00,上海,徐汇上师大,18.0,优,颗粒物(PM10),12,13,0.692,33,54,40,6
36,37,2016-07-02 12:00:00,上海,徐汇上师大,21.0,优,颗粒物(PM10),11,13,0.699,31,67,44,6
37,38,2016-07-02 13:00:00,上海,徐汇上师大,26.0,优,颗粒物(PM10),15,18,0.749,38,82,51,6
38,39,2016-07-02 14:00:00,上海,徐汇上师大,34.0,优,颗粒物(PM10),21,28,0.71,36,107,60,6
39,40,2016-07-02 15:00:00,上海,徐汇上师大,36.0,优,颗粒物(PM10),25,36,0.729,40,114,69,6
40,41,2016-07-02 16:00:00,上海,徐汇上师大,50.0,优,颗粒物(PM10),35,44,0.776,43,101,77,6
41,42,2016-07-02 17:00:00,上海,徐汇上师大,43.0,优,颗粒物(PM10),30,35,0.777,49,74,81,5
42,43,2016-07-02 18:00:00,上海,徐汇上师大,40.0,优,颗粒物(PM10),27,40,0.736,55,65,83,6
43,44,2016-07-02 19:00:00,上海,徐汇上师大,40.0,优,颗粒物(PM10),27,40,1.071,64,46,82,7
44,45,2016-07-02 20:00:00,上海,徐汇上师大,29.0,优,颗粒物(PM10),20,27,0.844,55,52,80,6
45,46,2016-07-02 21:00:00,上海,徐汇上师大,28.0,优,颗粒物(PM10),14,19,0.817,56,41,75,5
46,47,2016-07-02 22:00:00,上海,徐汇上师大,26.0,优,颗粒物(PM10),14,16,0.681,51,40,67,5
47,48,2016-07-02 23:00:00,上海,徐汇上师大,26.0,优,颗粒物(PM10),18,16,0.624,45,42,58,5
48,49,2016-07-03 00:00:00,上海,徐汇上师大,33.0,优,颗粒物(PM10),23,16,0.542,35,50,51,5
49,50,2016-07-03 01:00:00,上海,徐汇上师大,35.0,优,颗粒物(PM10),24,16,0.515,32,54,49,6
50,51,2016-07-03 02:00:00,上海,徐汇上师大,40.0,优,颗粒物(PM10),28,16,0.506,33,53,47,6
51,52,2016-07-03 03:00:00,上海,徐汇上师大,48.0,优,颗粒物(PM10),33,16,0.502,26,55,48,6
52,53,2016-07-03 04:00:00,上海,徐汇上师大,38.0,优,颗粒物(PM10),26,16,0.501,26,55,49,6
53,54,2016-07-03 05:00:00,上海,徐汇上师大,39.0,优,颗粒物(PM10),27,16,0.517,25,53,50,6
54,55,2016-07-03 06:00:00,上海,徐汇上师大,40.0,优,颗粒物(PM10),28,16,0.591,32,41,50,6
55,56,2016-07-03 07:00:00,上海,徐汇上师大,45.0,优,颗粒物(PM10),31,16,0.632,46,30,49,7
56,57,2016-07-03 08:00:00,上海,徐汇上师大,45.0,优,颗粒物(PM10),31,16,0.752,55,21,45,8
57,58,2016-07-03 09:00:00,上海,徐汇上师大,46.0,优,颗粒物(PM10),32,36,0.745,50,31,42,9
58,59,2016-07-03 10:00:00,上海,徐汇上师大,52.0,良,细颗粒物(PM2.5),36,47,0.816,57,40,41,10
59,60,2016-07-03 11:00:00,上海,徐汇上师大,59.0,良,细颗粒物(PM2.5),42,50,0.822,62,67,42,10
60,61,2016-07-03 12:00:00,上海,徐汇上师大,67.0,良,细颗粒物(PM2.5),48,50,0.838,55,113,50,10
61,62,2016-07-03 13:00:00,上海,徐汇上师大,64.0,良,细颗粒物(PM2.5),46,50,0.73,38,120,58,8
62,63,2016-07-03 14:00:00,上海,徐汇上师大,59.0,良,细颗粒物(PM2.5),42,49,0.668,30,125,68,8
63,64,2016-07-03 15:00:00,上海,徐汇上师大,62.0,良,细颗粒物(PM2.5),44,50,0.679,28,140,82,7
64,65,2016-07-03 16:00:00,上海,徐汇上师大,77.0,良,细颗粒物(PM2.5),56,64,0.661,28,127,95,8
65,66,2016-07-03 17:00:00,上海,徐汇上师大,83.0,良,细颗粒物(PM2.5),61,68,0.685,36,113,106,8
66,67,2016-07-03 18:00:00,上海,徐汇上师大,90.0,良,细颗粒物(PM2.5),67,68,0.787,50,109,114,7
67,68,2016-07-03 19:00:00,上海,徐汇上师大,109.0,轻度污染,细颗粒物(PM2.5),82,88,0.908,70,94,118,8
68,69,2016-07-03 20:00:00,上海,徐汇上师大,139.0,轻度污染,细颗粒物(PM2.5),106,121,1.037,84,65,112,7
69,70,2016-07-03 21:00:00,上海,徐汇上师大,150.0,轻度污染,细颗粒物(PM2.5),115,121,0.954,65,87,108,8
70,71,2016-07-03 22:00:00,上海,徐汇上师大,138.0,轻度污染,细颗粒物(PM2.5),105,121,0.881,60,64,100,7
71,72,2016-07-03 23:00:00,上海,徐汇上师大,120.0,轻度污染,细颗粒物(PM2.5),91,121,0.898,71,50,89,8
72,73,2016-07-04 00:00:00,上海,徐汇上师大,99.0,良,细颗粒物(PM2.5),74,74,0.87,72,36,77,9
73,74,2016-07-04 01:00:00,上海,徐汇上师大,77.0,良,细颗粒物(PM2.5),56,74,0.666,71,19,66,10
74,75,2016-07-04 02:00:00,上海,徐汇上师大,55.0,良,细颗粒物(PM2.5),39,45,0.546,42,32,56,9
75,76,2016-07-04 03:00:00,上海,徐汇上师大,55.0,良,细颗粒物(PM2.5),39,45,0.616,41,26,47,9
76,77,2016-07-04 04:00:00,上海,徐汇上师大,57.0,良,细颗粒物(PM2.5),40,45,0.707,43,21,42,9
77,78,2016-07-04 05:00:00,上海,徐汇上师大,63.0,良,细颗粒物(PM2.5),45,45,0.622,46,19,33,8
78,79,2016-07-04 06:00:00,上海,徐汇上师大,65.0,良,细颗粒物(PM2.5),47,53,0.553,40,24,28,7
79,80,2016-07-04 07:00:00,上海,徐汇上师大,53.0,良,细颗粒物(PM2.5),37,44,0.746,46,19,24,8
80,81,2016-07-04 08:00:00,上海,徐汇上师大,50.0,优,细颗粒物(PM2.5),35,40,0.843,51,21,23,10
81,82,2016-07-04 09:00:00,上海,徐汇上师大,40.0,优,细颗粒物(PM2.5),28,35,0.807,42,33,24,10
82,83,2016-07-04 10:00:00,上海,徐汇上师大,42.0,优,细颗粒物(PM2.5),29,33,0.539,31,60,32,9
83,84,2016-07-04 11:00:00,上海,徐汇上师大,48.0,优,细颗粒物(PM2.5),33,43,0.463,30,114,39,9
84,85,2016-07-04 12:00:00,上海,徐汇上师大,53.0,良,细颗粒物(PM2.5),37,45,0.4,17,161,56,8
85,86,2016-07-04 13:00:00,上海,徐汇上师大,65.0,良,臭氧1小时,36,47,0.435,16,172,76,7
86,87,2016-07-04 14:00:00,上海,徐汇上师大,75.0,良,臭氧1小时,40,52,0.413,18,180,95,8
87,88,2016-07-04 15:00:00,上海,徐汇上师大,90.0,良,臭氧1小时,38,52,0.397,15,192,117,8
88,89,2016-07-04 16:00:00,上海,徐汇上师大,84.0,良,臭氧1小时,32,37,0.441,24,187,137,7
