,id,time,city,site,aqi,level,primarypollutant,pm25,pm10,co,no2,ozone1hour,ozone8hour,so2
0,1,2018-01-01 01:00:00,上海,杨浦四漂,295.0,重度污染,细颗粒物(PM2.5),245,268,2.1,97,13,13,16
1,2,2018-01-01 02:00:00,上海,杨浦四漂,279.0,重度污染,细颗粒物(PM2.5),229,245,2.1,107,10,12,19
2,3,2018-01-01 10:00:00,上海,杨浦四漂,134.0,轻度污染,细颗粒物(PM2.5),102,245,1.5,72,53,53,16
3,4,2018-01-01 11:00:00,上海,杨浦四漂,118.0,轻度污染,细颗粒物(PM2.5),89,89,1.3,53,66,29,20
4,5,2018-01-01 12:00:00,上海,杨浦四漂,90.0,良,细颗粒物(PM2.5),67,67,1.1,32,88,39,20
5,6,2018-01-01 13:00:00,上海,杨浦四漂,74.0,良,细颗粒物(PM2.5),54,60,1.0,30,93,49,19
6,7,2018-01-01 14:00:00,上海,杨浦四漂,68.0,良,细颗粒物(PM2.5),49,49,0.9,24,97,60,18
7,8,2018-01-01 15:00:00,上海,杨浦四漂,54.0,良,细颗粒物(PM2.5),38,43,0.9,21,100,70,16
8,9,2018-01-01 16:00:00,上海,杨浦四漂,52.0,良,细颗粒物(PM2.5),36,50,1.0,29,87,79,18
9,10,2018-01-01 17:00:00,上海,杨浦四漂,46.0,优,细颗粒物(PM2.5),32,42,1.0,32,76,82,15
10,11,2018-01-01 18:00:00,上海,杨浦四漂,45.0,优,细颗粒物(PM2.5),31,35,1.0,41,64,84,15
11,12,2018-01-01 19:00:00,上海,杨浦四漂,48.0,优,细颗粒物(PM2.5),33,39,1.1,67,31,80,16
12,13,2018-01-01 20:00:00,上海,杨浦四漂,53.0,良,细颗粒物(PM2.5),37,54,1.2,81,17,71,14
13,14,2018-01-01 21:00:00,上海,杨浦四漂,55.0,良,颗粒物(PM10),38,59,1.3,86,13,61,15
14,15,2018-01-01 23:00:00,上海,杨浦四漂,62.0,良,细颗粒物(PM2.5),44,58,1.3,89,9,38,15
